open,write,read,close
112.887,5.11,0.81,11.66
118.587,5.16,0.81,11.56
112.737,5.15,0.82,11.54
113.337,5.11,0.78,11.7
112.937,5.17,0.79,11.54
112.118,5.24,0.78,11.469
112.278,5.29,0.82,11.519
112.318,5.07,0.77,11.499
111.868,5.109,0.78,11.6
124.437,5.47,0.82,18.58
117.307,5.24,0.8,11.629
131.067,13.719,1.12,16.58
133.257,5.68,0.85,12.69
115.257,5.32,0.78,11.62
113.517,5.2,0.81,11.6
115.507,5.08,0.82,11.609
115.848,5.25,0.789,11.67
113.898,5.129,0.83,11.56
113.007,5.18,0.75,11.51
113.487,5.14,0.79,11.67
112.697,5.22,0.79,11.47
113.447,5.2,0.75,11.87
113.007,5.21,0.77,11.64
114.228,5.1,0.8,11.569
113.408,5.3,0.79,11.729
112.848,5.059,0.81,11.6
112.257,5.26,0.78,11.48
112.147,5.15,0.8,11.67
112.547,5.19,0.78,11.48
112.827,5.22,0.77,11.6
115.527,5.09,0.76,11.63
113.037,5.11,0.78,11.49
112.768,5.11,0.79,11.649
112.158,5.15,0.77,11.559
118.338,5.119,0.78,11.57
122.707,6.15,0.9,13.26
126.307,5.44,0.82,12.409
115.747,5.12,0.75,11.58
114.137,5.19,0.77,25.98
113.158,5.4,0.77,11.529
114.028,5.54,0.76,11.589
113.448,5.189,0.75,11.52
113.957,5.17,0.78,11.49
112.757,5.15,0.79,11.68
113.317,5.06,0.77,11.65
113.807,5.17,0.79,11.57
126.497,6,0.87,13.019
126.277,5.36,0.81,12.21
115.977,5.15,0.78,11.61
114.707,5.09,0.8,11.639
114.508,5.15,0.8,11.589
115.298,5.099,0.78,11.74
114.347,5.37,0.76,11.73
120.117,5.19,0.79,11.65
114.037,5.23,0.78,11.59
114.337,5.14,0.77,11.709
115.758,5.11,0.78,11.569
157.627,6.849,1.75,12.22
116.967,5.23,0.79,11.54
113.557,5.11,0.79,11.65
136.746,6.29,0.88,13.08
135.067,15.189,0.84,12.86
126.147,5.65,0.86,12.4
136.677,7.08,1.06,15.819
138.947,5.74,0.82,12.75
117.117,5.32,0.77,11.79
115.397,5.18,0.79,11.6
120.588,5.21,0.78,11.699
114.068,5.159,0.75,11.51
112.237,5.17,0.78,11.42
467.639,7.74,1.14,20.339
139.147,6,0.85,13.03
123.078,5.229,0.74,11.67
113.717,5.26,0.77,11.51
113.097,5.24,0.78,11.47
191.735,6.12,0.89,13.26
138.157,6.239,0.85,12.74
117.967,5.16,0.78,11.62
113.967,5.15,0.8,11.57
113.737,5.23,0.76,11.52
113.157,5.19,0.75,11.54
127.477,7.3,1.11,16.119
122.308,5.7,0.85,12.63
115.798,5.31,0.77,11.589
113.678,5.21,0.75,11.42
113.418,5.189,0.75,11.57
113.357,5.16,0.77,11.6
135.426,11.58,0.9,14.23
130.217,5.85,0.88,12.96
132.167,5.56,0.81,16.9
121.977,5.86,0.84,12.339
127.137,5.14,0.77,11.95
106.127,5.09,0.75,16.09
124.377,5.16,0.78,11.65
131.866,13.98,1.09,16.129
132.678,6.14,0.91,13.22
127.357,5.49,0.8,16.329
119.228,5.969,0.88,12.86
130.297,5.94,0.91,12.63
129.237,5.78,0.85,17.68
121.556,5.99,0.88,13.19
86.518,5.44,0.76,12.36
112.197,5.04,0.77,11.489
110.688,5.07,0.79,11.479
111.098,5.21,0.77,11.629
112.758,5.19,0.78,11.699
110.128,5.15,0.779,11.44
115.857,5.29,0.76,12.03
114.427,5.16,0.75,11.45
110.817,5.11,0.75,11.48
120.587,7.05,0.77,15.159
122.727,5.28,0.78,11.85
113.077,5.19,0.76,11.44
114.157,5.13,0.76,11.7
122.527,6.039,0.88,13.17
122.037,5.51,0.79,12.2
114.357,5.26,0.76,11.58
451.789,6.16,0.9,13.07
124.777,5.98,0.85,12.469
119.207,5.75,0.85,12.34
128.667,5.81,0.85,12.77
130.317,6.82,1.86,13.21
129.867,5.89,0.83,12.579
123.867,5.23,0.77,11.85
114.177,5.2,0.81,11.64
116.527,5.24,0.8,11.56
127.697,5.149,0.8,11.46
113.627,5.17,0.8,11.62
115.017,5.05,0.82,11.6
113.677,5.27,0.8,11.49
119.448,5.479,0.82,11.99
113.437,5.2,0.8,11.68
113.787,5.12,0.76,11.54
112.627,5.13,0.77,11.48
114.227,5.08,0.79,11.51
113.717,5.21,0.78,11.63
113.797,5.2,0.81,11.599
137.797,5.42,0.79,11.87
115.857,5.11,0.76,11.63
113.917,5.1,0.75,11.659
113.488,5.11,0.79,11.529
113.518,5.21,0.76,11.58
113.238,5.369,0.78,11.68
113.317,5.12,0.77,11.64
124.197,5.47,0.78,11.89
152.956,6.28,0.89,13.159
131.757,6.11,0.86,12.74
111.947,5.12,0.75,18.98
114.347,5.41,0.76,11.699
113.878,5.19,0.75,11.529
113.298,5.209,0.77,11.6
112.837,5.25,0.76,11.56
112.927,5.14,0.77,11.69
113.347,5.18,0.75,11.66
113.027,5.19,0.75,11.46
112.897,5.22,0.77,24.309
144.407,5.28,0.79,11.589
126.737,5.36,0.79,11.91
114.787,5.23,0.78,11.74
120.057,5.12,0.76,11.59
112.957,5.27,0.76,11.49
112.738,5.17,0.78,11.529
112.518,5.14,0.78,11.529
112.408,5.13,0.79,11.789
118.207,5.31,0.77,11.66
114.517,5.24,0.79,11.6
112.407,5.43,0.81,11.65
113.017,5.15,0.76,11.67
113.477,5.2,0.79,11.61
112.678,5.23,0.79,11.619
112.658,5.2,0.78,11.569
112.438,5.07,0.769,19.11
114.237,5.34,0.79,11.51
122.417,5.77,0.81,12.37
148.287,5.14,0.75,11.48
112.477,5.24,0.77,11.68
119.668,5.91,0.799,12.17
117.627,5.22,0.77,11.54
113.917,5.37,1.4,15.75
148.816,5.63,1.43,15.1
110.787,5.75,0.85,12.45
121.557,5.64,0.83,12.239
128.457,6.11,0.92,13.39
122.667,5.91,0.86,12.599
121.918,5.689,0.89,12.94
125.847,5.47,0.8,12.08
111.247,5.18,0.77,11.39
117.647,5.16,0.8,11.609
115.118,5.699,0.81,12.3
116.817,5.27,0.8,11.86
107.917,5.6,0.87,12.38
116.257,5.35,0.79,11.63
146.676,7.5,1.9,13.44
122.567,6.13,0.88,13.039
112.608,5.709,0.86,12.35
118.077,5.25,0.77,11.73
105.837,5.06,0.73,11.48
116.927,5.24,0.8,11.65
106.067,5.09,0.76,11.34
116.477,5.18,0.78,11.64
117.577,6.159,0.89,13.36
135.287,5.67,0.81,12.45
109.287,5.63,0.83,12.4
121.738,6.17,0.889,13.42
113.157,6.14,0.85,12.54
