open_us,write_us,read_us,close_us
392,12,9,27
441,10,5,20
568,23,9,43
435,23,10,48
480,21,9,43
403,21,11,30
450,23,9,38
456,38,9,41
445,15,8,24
461,24,9,45
479,22,9,37
392,35,6,23
457,24,10,38
392,14,7,22
421,27,9,39
440,15,7,25
461,25,9,38
407,14,6,42
393,44,5,21
539,22,8,38
461,21,9,32
452,25,9,36
450,21,9,49
433,22,13,39
470,22,9,41
444,18,8,28
464,30,6,37
447,24,13,40
455,22,13,41
395,22,8,38
504,23,9,34
457,23,8,26
495,63,7,26
459,12,5,23
458,23,9,37
442,24,9,47
535,22,10,41
537,22,9,32
531,21,9,36
480,22,14,36
444,22,8,37
538,22,9,35
535,22,9,33
482,22,9,43
477,23,9,49
539,22,9,36
542,36,9,38
497,22,10,32
492,21,9,40
430,24,13,38
565,23,9,41
453,21,9,38
531,25,9,35
554,22,9,37
526,16,8,24
459,26,14,41
530,21,9,37
548,21,9,32
518,22,9,39
470,18,7,46
621,27,10,38
465,22,9,35
450,22,9,36
559,21,9,33
540,22,9,33
448,22,12,55
537,23,8,31
547,25,9,39
550,14,6,31
463,27,10,41
463,27,8,40
399,16,7,25
450,13,5,21
457,26,10,41
537,22,10,33
529,22,9,44
528,22,9,33
552,21,9,35
489,77,9,34
458,22,14,41
471,22,9,37
489,16,6,27
458,26,9,52
534,22,10,34
541,23,8,34
435,40,8,40
439,23,10,36
441,40,14,45
506,22,9,36
459,20,7,27
502,12,5,30
473,27,9,39
465,22,9,41
443,25,10,35
445,22,8,36
544,27,9,33
489,22,8,34
477,21,9,34
469,22,8,34
443,23,9,34
444,21,9,35
556,22,9,34
492,27,16,35
461,25,9,50
444,22,9,109
425,21,8,37
446,22,10,36
547,22,10,40
543,22,9,33
521,26,9,36
412,28,7,44
452,25,9,38
537,22,9,40
406,20,10,27
451,23,9,38
396,16,7,28
444,12,6,47
603,23,9,44
451,16,6,25
454,11,5,21
471,24,10,37
539,23,9,42
404,14,6,24
468,26,9,50
552,34,8,37
485,21,9,34
490,25,10,35
449,22,8,37
543,21,9,39
462,21,8,37
561,21,9,44
544,14,6,25
478,26,9,38
535,22,9,30
549,23,9,35
412,13,6,23
417,12,5,22
475,26,10,48
553,21,9,31
489,23,8,48
436,21,9,36
450,22,9,35
495,14,11,23
402,26,10,54
526,12,5,26
473,23,19,26
440,25,11,46
442,22,10,39
467,22,8,38
558,24,10,42
446,21,9,37
550,21,8,36
554,23,10,38
501,23,9,34
454,24,9,39
504,16,8,27
563,25,10,37
575,22,8,32
415,23,10,40
466,22,9,35
566,21,8,32
546,22,9,36
486,22,9,46
544,45,9,33
483,24,8,43
436,22,8,41
539,21,9,32
513,23,9,41
437,25,9,35
558,19,7,31
458,12,5,23
434,41,10,37
513,22,9,33
465,18,14,28
551,22,9,32
461,22,9,39
468,21,8,33
455,25,9,40
523,22,9,34
481,24,9,38
451,17,7,28
401,14,5,23
446,28,10,54
522,14,6,22
464,26,9,37
549,22,9,59
458,24,9,39
461,17,7,26
442,12,5,24
491,27,14,39
531,22,9,34
534,22,9,35
420,17,6,34
540,23,9,41
468,22,9,31
466,21,9,32
511,26,10,49
540,16,7,26
450,27,9,46
546,24,9,39
468,18,7,34
465,22,10,35
962,43,9,34
3113,41,7,29
540,12,6,22
467,28,10,44
535,21,9,35
522,23,8,36
451,25,10,38
549,22,11,39
447,22,8,46
554,23,11,43
438,16,8,28
453,25,9,39
571,14,6,24
465,26,11,41
525,22,9,33
546,21,8,34
479,21,9,34
533,21,8,34
535,22,9,77
444,23,9,58
551,63,8,27
461,23,9,41
481,18,9,28
437,14,7,24
476,26,9,59
529,22,9,38
535,22,8,33
527,21,9,33
546,21,9,34
479,22,9,36
441,22,9,35
550,21,8,33
479,15,8,24
412,12,5,21
433,23,9,38
469,26,9,37
449,22,9,38
440,22,10,50
532,24,9,34
446,36,10,35
488,16,6,24
551,26,9,40
544,21,14,33
552,22,9,41
450,22,10,35
458,16,6,26
441,11,5,22
447,26,9,41
546,12,5,21
453,23,9,36
422,15,18,30
519,23,9,42
460,23,9,38
550,14,6,24
435,24,10,41
551,22,10,36
437,19,7,24
565,25,9,36
590,23,9,48
436,26,9,43
477,23,9,35
451,21,8,36
533,21,8,37
439,22,9,34
558,25,9,40
448,22,9,37
552,22,9,34
445,22,9,40
483,19,8,30
453,13,6,24
