Run,Open,Write,Read,Close
640,78.6,56.4,10.7,92
641,131.3,91.8,7.9,204.4
642,206.2,95.3,8.6,107.5
643,194.3,81.1,6.7,107.9
644,138.5,49.2,5.3,85.8
645,99,53.2,5.1,120.8
646,112,45.2,5.3,75.3
647,82.9,48.1,4.8,71.9
648,80.8,115.4,7.9,99.9
649,140.9,48.2,5.3,80.4
650,92.7,47.5,4.8,74.9
651,88.2,50,4.8,72.6
652,80.8,50.3,5.2,87.7
653,128.8,66.3,7.4,317.7
654,221.3,233.5,13.8,208
655,290.9,76.1,8.2,109.7
656,130.8,79.2,48.3,133.9
657,201.9,67.3,6.3,89.1
658,156.5,62.3,5.7,82.2
659,107.6,63.9,5.2,108.7
660,102.8,85.6,5.1,79.3
661,98.6,60.3,8.2,80.3
662,89.9,58.3,6.9,86.8
663,141.3,78.3,5.8,98.3
664,139.7,59.7,5.5,80.8
665,125.9,48.1,5.4,83.7
666,95.9,60.5,6.7,80.7
667,97.8,106,6.9,93.5
668,121.9,60.1,5.1,131.1
669,123,46,5,80.1
670,103.6,112.3,7.2,101.5
671,134.1,60.9,5.4,81.1
672,97.5,60.7,7.2,79.9
673,131.9,71.5,5.7,90.5
674,159.9,64.7,5.2,87.4
675,108.4,58.8,5,81.4
676,96.2,60.3,6.6,81.1
677,94.3,58.3,6.8,77.4
678,88.1,63.2,76.1,205.6
679,252.7,95.5,8.4,128.8
680,205.2,67,6,100
681,130.8,62.7,5.5,91.1
682,124,62.7,5.6,88.6
683,118.4,59.5,5.3,85.9
684,101.3,59,7.1,83.7
685,105.4,58.2,7,83
686,188.4,50.1,5,80.5
687,108.4,61,6.7,80.6
688,114.6,58.3,7.1,85.5
689,98.4,56.4,6.9,90.9
690,92.7,58.1,6.6,102.8
691,149.9,67.4,5,127.4
692,117.4,68,5.7,83.5
693,90.4,157.8,10.9,117
694,189.7,56.9,5.7,87.7
695,106.7,49.6,5,79.8
696,99.6,55.4,46.8,119.2
697,140.6,51.9,5.4,78.9
698,100,48,5.1,77.5
699,102.6,49.3,4.9,80.1
700,135.2,58.9,5.7,89.5
701,117.4,71.7,6.9,289.6
702,236.8,214.4,14.3,176.4
703,209.3,102.9,9,198.1
704,229.1,83.5,7.4,119
705,148.9,64.7,6,90.8
706,175.3,68.5,6.4,100.9
707,140.1,61,5.4,83
708,97.8,60.6,5.3,80.5
709,100.3,60.1,6.6,88.4
710,131.3,78.5,6.1,95.7
711,129.7,58.6,5.2,83.3
712,97.7,59.1,6.8,94.4
713,103.8,59.3,4.9,80.1
714,93.5,57,6.9,129.2
715,126.5,50.9,5.7,89.9
716,118.1,59.1,5,82
717,93.8,57.1,6.9,79.3
718,107.9,60.9,6.5,80.2
719,95.4,57,6.9,92.2
720,93.4,62.4,5,77.4
721,87.6,55.9,7,79.6
722,96.9,56.2,7.7,92.9
723,95.2,112.9,9.3,166.7
724,177.5,127,14.6,139.3
725,192.9,62.1,6.5,96.3
726,120.8,50.2,5.4,85.8
727,170.3,82.2,6.7,109.8
728,162.7,56.1,5.6,92.3
729,108.7,45.2,5.1,82.5
730,107,48.3,4.9,78.7
731,149.9,65.8,6.2,93.3
732,118.4,46.9,5.2,79.6
733,87.6,46.5,4.9,76.3
734,81.6,50.4,5,72.3
735,80.5,48.6,4.8,73.2
736,77.6,57,5.8,87.8
737,129.8,63.6,7.3,262.9
738,195,70.8,7.1,104.2
739,127.4,104.4,7.5,95.6
740,193,51.5,5,78.6
741,96.8,122.4,5.9,87.4
742,111.2,46.5,5.1,75.5
743,85.6,49.4,5.1,73.7
744,77.8,58,5.9,86.9
745,127.6,63.7,7.1,181.1
746,195.7,60.5,5.2,90.1
747,157.8,48.8,5.3,80.3
748,108,48.4,5.1,75.9
749,86.1,109.2,7.6,97.2
750,138.9,48.7,5.4,89.3
751,136.2,71.2,8.4,133.8
752,431.1,102.7,9.4,202
753,270.2,90.1,8.7,130.1
754,255.1,82.2,7.6,119.2
755,171,55.8,5.8,98.7
756,124.3,61.2,5.9,117.6
757,181.1,75.5,7.3,113.5
758,145.8,61,6.1,247.6
759,160.9,59,5.9,94.8
760,128.1,63.8,7.1,138.5
761,127.6,55.2,5.7,82.3
762,142.4,74.1,6,93.3
763,149.3,58.8,5.6,86.8
764,111.1,60,5.4,99.1
765,106.8,108.5,7.1,98.4
766,410.9,117.3,12.1,161.2
767,266.5,89.3,9.4,142
768,194.4,74,8,123.3
769,237.3,106.3,9,121.5
770,154.1,54.9,6.6,185.9
771,151.2,107.6,9.2,186.9
772,137.1,70.5,41.5,127.6
773,125.7,51.9,38.3,126.9
774,145.5,155.6,7,208.7
775,215.7,86.1,10.1,130.3
776,172.2,71.8,7.8,113.1
777,161.2,65,6.9,104.6
778,189.9,89.1,7,109.1
779,124.2,47.6,5.4,147.8
780,114,47.9,5.4,100.5
781,115.7,62.3,5.2,83.1
782,109.6,45.5,5.2,74.9
783,120.9,59.4,7.3,131.3
784,215.4,96.6,9.1,144
785,171.3,73.9,7.3,156.3
786,121.2,50.8,5.5,82.8
787,91.2,50.3,5,74.5
788,82.6,49.5,5,73.2
789,80.9,48.9,5.5,124.7
790,83.8,45.8,4.8,71.1
791,77.6,142.6,9.5,124.3
792,403.2,137.1,12.5,366.6
793,278.6,203.4,14.7,127
794,214.8,60.1,5.9,89.3
795,116.1,46.9,5.1,79.8
796,86.7,71,6.9,83.7
797,109.7,47.9,5.1,75.4
798,87.4,53.7,4.8,74.9
799,81,50.9,5.1,74.5
800,78.5,146.8,14.7,142.3
801,227.6,68.9,6.9,102.2
802,154.8,58.4,5.8,89.9
803,113.9,62.8,5.7,84.3
804,106.8,57.6,7.1,87.6
805,144.6,90.8,9.4,141.8
806,272,118.6,11.1,241.3
807,167.1,56.5,6.6,97.5
808,115.8,48,5.1,82.1
809,199.4,43.3,5,76.3
