Run,Open,Write,Read,Close
537,206.500,127.800,16.700,188.900
538,200.400,217.100,20.200,353.700
539,262.800,134.100,14.900,185.200
540,182.300,300.900,18.700,214.800
541,252.100,112.700,13.400,167.100
542,181.700,106.500,13.200,159.200
543,168.500,204.200,15.400,265.800
544,193.600,130.600,63.700,219.700
545,223.200,129.800,15.700,187.500
546,221.700,122.100,15.800,331.800
547,222.500,123.500,15.300,199.700
548,208.600,141.600,15.700,349.100
549,238.200,136.900,13.600,256.500
550,241.200,162.500,16.400,197.900
551,352.200,199.800,19.100,373.400
552,245.900,256.000,25.600,353.600
553,314.900,151.100,17.200,437.400
554,284.900,283.200,24.000,268.800
555,277.500,133.300,15.800,189.400
556,429.700,263.600,18.400,344.700
557,380.100,205.800,18.500,394.800
558,357.000,177.300,16.200,360.200
559,276.700,140.300,15.800,187.200
560,186.300,111.600,14.200,167.500
561,273.100,125.300,15.000,171.100
562,200.700,120.000,14.700,264.800
563,222.300,132.400,14.200,167.700
564,200.700,119.600,15.900,175.100
565,183.200,111.400,14.700,208.200
566,284.600,157.000,18.200,217.700
567,386.000,199.600,19.400,228.100
568,273.600,125.100,16.000,185.800
569,313.300,124.300,15.300,174.000
570,264.500,122.700,14.300,175.300
571,255.300,197.600,89.800,198.900
572,211.000,112.100,14.600,282.300
573,211.300,204.800,69.800,187.900
574,209.700,117.400,14.800,178.000
575,222.300,255.700,23.600,370.800
576,365.800,163.700,19.400,227.900
577,306.800,148.800,16.900,551.400
578,260.100,142.600,17.500,200.600
579,218.700,147.700,17.000,446.700
580,234.800,154.500,133.500,303.500
581,198.900,110.800,14.000,166.500
582,175.100,102.900,13.400,328.600
583,200.600,119.700,14.200,194.800
584,181.600,103.900,12.600,281.900
585,249.200,141.100,17.900,375.500
586,335.300,132.700,15.400,201.400
587,284.500,125.000,14.600,175.500
588,186.200,107.900,13.100,167.300
589,176.800,122.400,13.800,230.200
590,391.700,245.300,21.400,227.900
591,332.900,225.100,23.400,500.200
592,253.800,142.600,16.600,198.500
593,195.500,118.000,15.300,182.900
594,190.700,217.100,17.300,200.300
595,219.400,125.100,15.200,347.000
596,287.400,322.600,29.100,248.700
597,375.200,160.700,16.300,189.100
598,207.800,108.800,15.700,164.900
599,181.000,104.800,13.100,157.700
600,256.600,113.600,13.500,309.000
601,239.400,205.600,18.600,206.300
602,244.000,111.400,13.100,167.400
603,459.200,166.100,18.500,505.700
604,261.000,125.000,15.000,187.500
605,179.200,124.500,13.500,193.900
606,170.000,119.900,14.500,269.600
607,190.200,229.600,19.500,213.100
608,286.200,168.800,17.000,307.000
609,295.100,148.700,17.600,285.900
610,307.000,201.900,26.700,369.700
611,267.500,181.100,74.900,238.500
612,397.400,120.500,14.100,170.900
613,187.100,113.700,13.500,162.100
614,157.400,118.800,13.400,271.200
615,351.500,132.100,19.700,301.200
616,334.200,150.500,16.900,332.300
617,231.900,136.400,16.100,290.600
618,254.000,147.500,16.800,191.200
619,305.800,187.400,16.900,193.300
620,205.000,110.800,14.000,163.700
621,175.900,108.500,14.100,267.400
622,191.600,128.500,13.900,227.900
